match,home_team,away_team,market_name,team,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Manchester United v Chelsea,Manchester United,Chelsea,Team Goals,Manchester United,2.5,4.95,1.13,Sportsbet,49,289,14361167,525854901,2501041780,2501041781
Manchester United v Chelsea,Manchester United,Chelsea,Team Goals,Manchester United,3.5,12.75,1.02,Sportsbet,49,289,14361167,525854902,2501041782,2501041783
Newcastle United v Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Team Goals,Newcastle United,0.5,1.06,7.4,Sportsbet,49,289,14323569,524446038,2494052623,2494052624
Newcastle United v Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Team Goals,Newcastle United,1.5,1.47,2.49,Sportsbet,49,289,14323569,524446039,2494052625,2494052626
Newcastle United v Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Team Goals,Newcastle United,2.5,2.61,1.43,Sportsbet,49,289,14323569,524446040,2494052627,2494052628
Newcastle United v Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Team Goals,Newcastle United,3.5,5.55,1.11,Sportsbet,49,289,14323569,524446041,2494052629,2494052630
Newcastle United v Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Team Goals,Wolverhampton Wanderers,0.5,1.72,1.99,Sportsbet,49,289,14323569,524445899,2494051870,2494051871
Newcastle United v Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Team Goals,Wolverhampton Wanderers,1.5,4.95,1.13,Sportsbet,49,289,14323569,524445900,2494051872,2494051873
Newcastle United v Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Team Goals,Wolverhampton Wanderers,2.5,17.5,1.01,Sportsbet,49,289,14323569,524445901,2494051874,2494051875
Newcastle United v Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Team Goals,Wolverhampton Wanderers,3.5,34,1.001,Sportsbet,49,289,14323569,524445902,2494051876,2494051877
Sunderland v Aston Villa,Sunderland,Aston Villa,Team Goals,Aston Villa,0.5,1.15,4.65,Sportsbet,49,289,14361171,525855504,2501045350,2501045351
Sunderland v Aston Villa,Sunderland,Aston Villa,Team Goals,Aston Villa,1.5,1.82,1.88,Sportsbet,49,289,14361171,525855505,2501045352,2501045353
Sunderland v Aston Villa,Sunderland,Aston Villa,Team Goals,Aston Villa,2.5,4.1,1.19,Sportsbet,49,289,14361171,525855506,2501045354,2501045355
Sunderland v Aston Villa,Sunderland,Aston Villa,Team Goals,Aston Villa,3.5,10.1,1.04,Sportsbet,49,289,14361171,525855507,2501045356,2501045357
Sunderland v Aston Villa,Sunderland,Aston Villa,Team Goals,Sunderland,0.5,1.43,2.59,Sportsbet,49,289,14361171,525855423,2501045163,2501045164
Sunderland v Aston Villa,Sunderland,Aston Villa,Team Goals,Sunderland,1.5,3.26,1.28,Sportsbet,49,289,14361171,525855424,2501045165,2501045166
