match,home_team,away_team,market_name,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Nottingham Forest v Ipswich Town,Nottingham Forest,Ipswich Town,Match Goals,6.5,12,1.02,Sportsbet,49,289,12963191,463326355,2240486628,2240486627
Nottingham Forest v Ipswich Town,Nottingham Forest,Ipswich Town,Match Goals,7.5,41,1.002,Sportsbet,49,289,12963191,463326297,2240486833,2240486832
Brentford v Leicester City,Brentford,Leicester City,Match Goals,0.5,1.02,15.25,Sportsbet,49,289,12963193,463326945,2240489354,2240489353
Brentford v Leicester City,Brentford,Leicester City,Match Goals,1.5,1.14,5.2,Sportsbet,49,289,12963193,463326947,2240489358,2240489357
Brentford v Leicester City,Brentford,Leicester City,Match Goals,3.5,2.29,1.58,Sportsbet,49,289,12963193,463327010,2240489378,2240489377
Brentford v Leicester City,Brentford,Leicester City,Match Goals,2.5,1.51,2.45,Sportsbet,49,289,12963193,463327008,2240489374,2240489373
Brentford v Leicester City,Brentford,Leicester City,Match Goals,4.5,4.25,1.2,Sportsbet,49,289,12963193,463327012,2240489382,2240489381
Brentford v Leicester City,Brentford,Leicester City,Match Goals,5.5,7,1.07,Sportsbet,49,289,12963193,463327014,2240489386,2240489385
Brentford v Leicester City,Brentford,Leicester City,Match Goals,6.5,12,1.02,Sportsbet,49,289,12963193,463327016,2240489390,2240489389
Brentford v Leicester City,Brentford,Leicester City,Match Goals,7.5,34,1.004,Sportsbet,49,289,12963193,463326958,2240489096,2240489095
Crystal Palace v Newcastle United,Crystal Palace,Newcastle United,Match Goals,0.5,1.05,8,Sportsbet,49,289,12963201,463328129,2240493374,2240493373
Crystal Palace v Newcastle United,Crystal Palace,Newcastle United,Match Goals,1.5,1.33,3.14,Sportsbet,49,289,12963201,463328135,2240493388,2240493387
Crystal Palace v Newcastle United,Crystal Palace,Newcastle United,Match Goals,3.5,4,1.22,Sportsbet,49,289,12963201,463328153,2240493431,2240493430
Crystal Palace v Newcastle United,Crystal Palace,Newcastle United,Match Goals,2.5,2.17,1.64,Sportsbet,49,289,12963201,463328150,2240493425,2240493424
Crystal Palace v Newcastle United,Crystal Palace,Newcastle United,Match Goals,4.5,7.75,1.06,Sportsbet,49,289,12963201,463328157,2240493449,2240493448
Crystal Palace v Newcastle United,Crystal Palace,Newcastle United,Match Goals,5.5,12,1.01,Sportsbet,49,289,12963201,463328161,2240493458,2240493457
Crystal Palace v Newcastle United,Crystal Palace,Newcastle United,Match Goals,6.5,41,1.002,Sportsbet,49,289,12963201,463328190,2240493477,2240493476
Crystal Palace v Newcastle United,Crystal Palace,Newcastle United,Match Goals,7.5,101,1.001,Sportsbet,49,289,12963201,463328228,2240493702,2240493701
Wolverhampton Wanderers v Bournemouth,Wolverhampton Wanderers,Bournemouth,Match Goals,0.5,1.02,14.5,Sportsbet,49,289,12963298,463337893,2240526979,2240526978
Wolverhampton Wanderers v Bournemouth,Wolverhampton Wanderers,Bournemouth,Match Goals,1.5,1.14,5.2,Sportsbet,49,289,12963298,463337895,2240526983,2240526982
