match,start_time,market_name,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Joshua Zirkzee,Manchester United,Burnley,0.5,2.4,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Joshua Zirkzee,Manchester United,Burnley,1.5,9,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Joshua Zirkzee,Manchester United,Burnley,2.5,34,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Kyle Walker,NA,NA,0.5,21,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Kyle Walker,NA,NA,1.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Kyle Walker,NA,NA,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Leny Yoro,Manchester United,Burnley,0.5,10,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Leny Yoro,Manchester United,Burnley,1.5,151,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Leny Yoro,Manchester United,Burnley,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lesley Ugochukwu,NA,NA,0.5,12,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lesley Ugochukwu,NA,NA,1.5,201,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lesley Ugochukwu,NA,NA,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Loum Tchaouna,NA,NA,0.5,5,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Loum Tchaouna,NA,NA,1.5,34,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Loum Tchaouna,NA,NA,2.5,301,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lucas Pires,NA,NA,0.5,21,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lucas Pires,NA,NA,1.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lucas Pires,NA,NA,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Luke Shaw,Manchester United,Burnley,0.5,10,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Luke Shaw,Manchester United,Burnley,1.5,151,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Luke Shaw,Manchester United,Burnley,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lyle Foster,NA,NA,0.5,4.25,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lyle Foster,NA,NA,1.5,26,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Lyle Foster,NA,NA,2.5,201,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Manuel Ugarte,Manchester United,Burnley,0.5,6,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Manuel Ugarte,Manchester United,Burnley,1.5,51,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Manuel Ugarte,Manchester United,Burnley,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Marcus Edwards,NA,NA,0.5,4.75,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Marcus Edwards,NA,NA,1.5,34,TAB
